   1 	     8.4731 
   2 	    11.3019 
   3 	    13.9788 
   4 	    16.8625 
   5 	    19.5022 
   6 	    22.1400 
   7 	    25.1589 
   8 	    27.7993 
   9 	    30.6663 
  10 	    33.4641 
  11 	    36.2307 
  12 	    38.7592 
  13 	    41.6422 
  14 	    44.3394 
  15 	    47.1448 
